Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,55,-0.0528573,0,0.0161592,0.04,0.0431407,-0.0809971,-0.00337149,-0.0102879,0.0817174
internalMesh,56,-0.0518018,0,0.0209308,0.04,0.0451453,-0.0798458,-0.00413228,-0.00994547,0.0805688
internalMesh,57,-0.0510827,0,0.0241819,0.04,0.0467414,-0.0790614,-0.00465065,-0.00971218,0.0797913
internalMesh,58,-0.0498097,0,0.0284096,0.04,0.0490623,-0.0772473,-0.00505974,-0.00929811,0.0779693
internalMesh,59,-0.0486876,0,0.0321362,0.04,0.0513102,-0.0756483,-0.00542035,-0.00893313,0.0763665
internalMesh,60,-0.047653,0,0.0348688,0.04,0.0530645,-0.0737682,-0.00540869,-0.0086339,0.0744684
internalMesh,61,-0.0457102,0,0.04,0.04,0.0565685,-0.0702378,-0.0053868,-0.00807204,0.070905
internalMesh,62,-0.0437994,0,0.0438571,0.04,0.0593586,-0.0657637,-0.00491906,-0.00753789,0.0663768
internalMesh,63,-0.0193479,0,-0.04,0.06,0.072111,-0.108898,0.00135018,-0.00788303,0.109192
internalMesh,64,-0.0199567,0,-0.034932,0.06,0.069428,-0.118735,0.00150266,-0.00754313,0.118984
internalMesh,65,-0.0202925,0,-0.0321362,0.06,0.0680642,-0.124162,0.00158677,-0.00735563,0.12439
internalMesh,66,-0.0207135,0,-0.0282463,0.06,0.0663163,-0.129919,0.00154258,-0.00709456,0.130122
internalMesh,67,-0.0211533,0,-0.0241819,0.06,0.0646897,-0.135934,0.00149641,-0.00682179,0.136113
internalMesh,68,-0.0214274,0,-0.0210148,0.06,0.0635737,-0.139061,0.00135963,-0.0066518,0.139226
internalMesh,69,-0.0218477,0,-0.0161592,0.06,0.0621379,-0.143854,0.00114991,-0.00639117,0.144001
internalMesh,70,-0.0222144,0,-0.00963029,0.06,0.0607679,-0.147524,0.000723389,-0.00616941,0.147654
internalMesh,71,-0.0223009,0,-0.00809104,0.06,0.0605431,-0.148389,0.000622833,-0.00611712,0.148516
internalMesh,72,-0.0224571,0,0,0.06,0.06,-0.149864,1.35627e-07,-0.00602362,0.149985
internalMesh,73,-0.0224571,0,0,0.06,0.06,-0.149864,1.35627e-07,-0.00602362,0.149985
internalMesh,74,-0.022301,0,0.00809104,0.06,0.0605431,-0.148389,-0.000622566,-0.00611729,0.148516
internalMesh,75,-0.0222167,0,0.0095921,0.06,0.0607619,-0.147545,-0.000720631,-0.0061683,0.147676
internalMesh,76,-0.0218477,0,0.0161592,0.06,0.0621379,-0.143854,-0.00114967,-0.0063915,0.144001
internalMesh,77,-0.0214301,0,0.0209838,0.06,0.0635635,-0.139091,-0.00135807,-0.00665056,0.139256
internalMesh,78,-0.0211532,0,0.0241819,0.06,0.0646897,-0.135934,-0.0014962,-0.00682229,0.136113
internalMesh,79,-0.0206978,0,0.0283903,0.06,0.0663778,-0.129706,-0.00154404,-0.00710479,0.129909
internalMesh,80,-0.0202924,0,0.0321362,0.06,0.0680642,-0.124162,-0.00158662,-0.00735625,0.12439
internalMesh,81,-0.0199621,0,0.0348862,0.06,0.069405,-0.118824,-0.00150391,-0.00754069,0.119073
internalMesh,82,-0.0193478,0,0.04,0.06,0.072111,-0.108898,-0.00135009,-0.00788366,0.109191
internalMesh,83,-0.0188564,0,0.0438571,0.06,0.0743199,-0.0982337,-0.00108627,-0.00806387,0.0985701
internalMesh,84,-0.00751059,0,-0.04,0.08,0.0894427,-0.0810457,-0.00103847,-0.0043457,0.0811688
internalMesh,85,-0.00738386,0,-0.0348891,0.08,0.0872769,-0.0902025,-0.000994347,-0.00383923,0.0902897
internalMesh,86,-0.0073156,0,-0.0321362,0.08,0.0862133,-0.0951347,-0.000970579,-0.00356642,0.0952065
internalMesh,87,-0.00724428,0,-0.027778,0.08,0.0846854,-0.101437,-0.000877982,-0.00311273,0.101488
internalMesh,88,-0.00718543,0,-0.0241819,0.08,0.0835749,-0.106637,-0.000801576,-0.00273836,0.106675
internalMesh,89,-0.00715582,0,-0.0212075,0.08,0.0827633,-0.109633,-0.000714966,-0.00248221,0.109664
internalMesh,90,-0.00710555,0,-0.0161592,0.08,0.0816157,-0.114719,-0.000567965,-0.00204745,0.114739
internalMesh,91,-0.00706909,0,-0.00983709,0.08,0.0806025,-0.11846,-0.000353355,-0.00169308,0.118473
internalMesh,92,-0.00705902,0,-0.00809104,0.08,0.0804081,-0.119493,-0.000294085,-0.00159521,0.119504
internalMesh,93,-0.00704324,0,0,0.08,0.08,-0.121072,7.93284e-08,-0.00143839,0.121081
internalMesh,94,-0.00704324,0,0,0.08,0.08,-0.121072,7.93284e-08,-0.00143839,0.121081
internalMesh,95,-0.00705886,0,0.00809104,0.08,0.0804081,-0.119494,0.000294246,-0.0015953,0.119505
internalMesh,96,-0.00706758,0,0.00960976,0.08,0.0805751,-0.118595,0.000345799,-0.00168045,0.118607
internalMesh,97,-0.00710519,0,0.0161592,0.08,0.0816157,-0.114719,0.000568123,-0.00204765,0.114739
internalMesh,98,-0.00715283,0,0.0209561,0.08,0.0826992,-0.109887,0.000707793,-0.00246083,0.109917
internalMesh,99,-0.00718487,0,0.0241819,0.08,0.0835749,-0.106637,0.000801716,-0.00273869,0.106675
internalMesh,100,-0.00725452,0,0.0284438,0.08,0.0849061,-0.100475,0.000892257,-0.00318241,0.100529
internalMesh,101,-0.00731486,0,0.0321362,0.08,0.0862133,-0.0951355,0.000970699,-0.00356685,0.0952073
internalMesh,102,-0.00738183,0,0.0348381,0.08,0.0872565,-0.0902947,0.000994019,-0.00383459,0.0903815
internalMesh,103,-0.00750976,0,0.04,0.08,0.0894427,-0.0810465,0.00103857,-0.0043461,0.0811696
internalMesh,104,-0.00765722,0,0.0438571,0.08,0.0912329,-0.071776,0.000994408,-0.00465333,0.0719336
internalMesh,105,-0.00226685,0,-0.04,0.1,0.107703,-0.0495907,-0.00122745,-0.00214403,0.0496522
internalMesh,106,-0.0020793,0,-0.0349021,0.1,0.105916,-0.0558252,-0.00125104,-0.00177653,0.0558674
internalMesh,107,-0.00197755,0,-0.0321362,0.1,0.105037,-0.0592076,-0.00126383,-0.00157715,0.059242
internalMesh,108,-0.00183638,0,-0.0277522,0.1,0.10378,-0.0636649,-0.00118808,-0.00123053,0.0636879
internalMesh,109,-0.00172142,0,-0.0241819,0.1,0.102882,-0.067295,-0.00112639,-0.000948245,0.0673111
internalMesh,110,-0.00164193,0,-0.0211726,0.1,0.102217,-0.069478,-0.00101988,-0.000745482,0.0694894
internalMesh,111,-0.0015095,0,-0.0161592,0.1,0.101297,-0.0731147,-0.000842444,-0.000407676,0.0731207
internalMesh,112,-0.00140016,0,-0.00987079,0.1,0.100486,-0.0758394,-0.000536652,-0.000125921,0.0758414
internalMesh,113,-0.00136922,0,-0.00809104,0.1,0.100327,-0.0766106,-0.000450107,-4.61787e-05,0.0766119
internalMesh,114,-0.00132028,0,0,0.1,0.1,-0.0777764,7.93943e-09,8.05948e-05,0.0777765
internalMesh,115,-0.00132028,0,0,0.1,0.1,-0.0777764,7.93943e-09,8.05949e-05,0.0777765
internalMesh,116,-0.0013688,0,0.00809104,0.1,0.100327,-0.0766109,0.000450126,-4.61889e-05,0.0766122
internalMesh,117,-0.00139461,0,0.00957827,0.1,0.100458,-0.0759666,0.000522446,-0.00011283,0.0759685
internalMesh,118,-0.00150879,0,0.0161592,0.1,0.101297,-0.0731154,0.000842461,-0.000407718,0.0731214
internalMesh,119,-0.00163674,0,0.0210057,0.1,0.102182,-0.0695999,0.00101399,-0.000734296,0.0696112
internalMesh,120,-0.00172059,0,0.0241819,0.1,0.102882,-0.067296,0.00112641,-0.000948325,0.0673121
internalMesh,121,-0.00185717,0,0.0284242,0.1,0.103961,-0.0629828,0.00119972,-0.00128377,0.0630073
internalMesh,122,-0.00197667,0,0.0321362,0.1,0.105037,-0.0592087,0.00126387,-0.00157728,0.0592432
internalMesh,123,-0.0020767,0,0.0348557,0.1,0.105901,-0.0558829,0.00125129,-0.00177331,0.0559251
internalMesh,124,-0.00226591,0,0.04,0.1,0.107703,-0.0495919,0.00122751,-0.00214414,0.0496534
internalMesh,125,-0.00244041,0,0.0438571,0.1,0.109195,-0.0434583,0.00110968,-0.00236128,0.0435366
internalMesh,126,-0.000681416,0,-0.04,0.12,0.126491,-0.0268076,-0.000776569,-0.000869018,0.026833
internalMesh,127,-0.000567483,0,-0.0349192,0.12,0.124977,-0.0304457,-0.000811519,-0.000670913,0.0304639
internalMesh,128,-0.000505076,0,-0.0321362,0.12,0.124229,-0.0324384,-0.000830663,-0.000562403,0.0324539
internalMesh,129,-0.000411148,0,-0.027745,0.12,0.123166,-0.0351081,-0.000792897,-0.000368096,0.035119
internalMesh,130,-0.000334933,0,-0.0241819,0.12,0.122412,-0.0372744,-0.000762252,-0.000210434,0.0372828
internalMesh,131,-0.000278641,0,-0.0211482,0.12,0.121849,-0.0386126,-0.000693945,-9.29673e-05,0.0386189
internalMesh,132,-0.000186067,0,-0.0161592,0.12,0.121083,-0.0408133,-0.000581611,0.00010021,0.0408175
internalMesh,133,-0.000107274,0,-0.00988066,0.12,0.120406,-0.042487,-0.000373629,0.000264752,0.0424894
internalMesh,134,-8.48151e-05,0,-0.00809104,0.12,0.120272,-0.042964,-0.000314347,0.000311652,0.0429663
internalMesh,135,-4.90514e-05,0,0,0.12,0.12,-0.0436855,-4.22501e-08,0.000386456,0.0436872
internalMesh,136,-4.90513e-05,0,0,0.12,0.12,-0.0436855,-4.22501e-08,0.000386456,0.0436872
internalMesh,137,-8.44511e-05,0,0.00809104,0.12,0.120272,-0.0429643,0.000314269,0.000311699,0.0429666
internalMesh,138,-0.000103242,0,0.0095921,0.12,0.120383,-0.0425642,0.000363994,0.000272367,0.0425667
internalMesh,139,-0.000185455,0,0.0161592,0.12,0.121083,-0.0408138,0.000581539,0.000100289,0.0408181
internalMesh,140,-0.000274948,0,0.0209838,0.12,0.121821,-0.0386858,0.000690178,-8.65139e-05,0.038692
internalMesh,141,-0.000334269,0,0.0241819,0.12,0.122412,-0.0372752,0.00076219,-0.000210337,0.0372836
internalMesh,142,-0.000424598,0,0.0284048,0.12,0.123316,-0.0347079,0.000798527,-0.000397193,0.0347194
internalMesh,143,-0.000504414,0,0.0321362,0.12,0.124229,-0.0324394,0.000830635,-0.000562302,0.0324549
internalMesh,144,-0.000565771,0,0.0348732,0.12,0.124965,-0.0304796,0.000811818,-0.000669017,0.0304978
internalMesh,145,-0.000680703,0,0.04,0.12,0.126491,-0.0268086,0.000776571,-0.000868912,0.0268339
internalMesh,146,-0.000792754,0,0.0445,0.12,0.127985,-0.022713,0.000669645,-0.00100214,0.022745
internalMesh,147,-0.000122599,0,-0.04,0.14,0.145602,-0.013499,-0.000380105,-0.000336313,0.0135085
internalMesh,148,-7.4214e-05,0,-0.0349192,0.14,0.144289,-0.0154448,-0.000403624,-0.00024501,0.015452
internalMesh,149,-4.77116e-05,0,-0.0321362,0.14,0.143641,-0.0165106,-0.000416506,-0.000194999,0.016517
internalMesh,150,-4.92237e-06,0,-0.027745,0.14,0.142723,-0.0179601,-0.000401702,-0.000102632,0.0179649
internalMesh,151,2.97973e-05,0,-0.0241819,0.14,0.142073,-0.0191362,-0.00038969,-2.7685e-05,0.0191402
internalMesh,152,5.30628e-05,0,-0.0215488,0.14,0.141649,-0.0197744,-0.000360687,2.18974e-05,0.0197777
internalMesh,153,0.000100684,0,-0.0161592,0.14,0.140929,-0.0210806,-0.000301321,0.000123386,0.0210831
internalMesh,154,0.000140837,0,-0.00959444,0.14,0.140328,-0.0220501,-0.0001897,0.000208294,0.0220519
internalMesh,155,0.000150033,0,-0.00809104,0.14,0.140234,-0.0222721,-0.000164138,0.000227739,0.0222739
internalMesh,156,0.000167659,0,0,0.14,0.14,-0.0226735,-5.6088e-08,0.000264932,0.022675
internalMesh,157,0.000167659,0,0,0.14,0.14,-0.0226735,-5.6088e-08,0.000264933,0.022675
internalMesh,158,0.000150248,0,0.00809104,0.14,0.140234,-0.0222723,0.000164033,0.000227801,0.0222741
internalMesh,159,0.000141303,0,0.00955799,0.14,0.140326,-0.0220557,0.000188977,0.000208838,0.0220575
internalMesh,160,0.000101054,0,0.0161592,0.14,0.140929,-0.021081,0.000301227,0.000123503,0.0210835
internalMesh,161,5.79769e-05,0,0.0210379,0.14,0.141572,-0.0198987,0.000354973,3.16615e-05,0.0199019
internalMesh,162,3.02165e-05,0,0.0241819,0.14,0.142073,-0.0191368,0.00038961,-2.7525e-05,0.0191408
internalMesh,163,-1.10173e-05,0,0.0284145,0.14,0.142854,-0.0177397,0.000403893,-0.000116542,0.0177447
internalMesh,164,-4.72745e-05,0,0.0321362,0.14,0.143641,-0.0165113,0.000416453,-0.000194816,0.0165177
internalMesh,165,-7.32589e-05,0,0.0348645,0.14,0.144276,-0.0154664,0.00040383,-0.000243842,0.0154736
internalMesh,166,-0.000122171,0,0.04,0.14,0.145602,-0.0134996,0.00038007,-0.000336126,0.0135091
internalMesh,167,-0.000160333,0,0.0438571,0.14,0.146709,-0.0116527,0.000330403,-0.00038684,0.0116638
internalMesh,168,2.99773e-05,0,-0.04,0.16,0.164924,-0.00639019,-0.000161523,-0.000116878,0.0063933
internalMesh,169,4.79195e-05,0,-0.0349021,0.16,0.163762,-0.00737129,-0.00017388,-7.9271e-05,0.00737377
internalMesh,170,5.76538e-05,0,-0.0321362,0.16,0.163195,-0.00790357,-0.000180584,-5.88676e-05,0.00790585
internalMesh,171,7.27373e-05,0,-0.0282062,0.16,0.162467,-0.00856413,-0.00017616,-2.40107e-05,0.00856598
internalMesh,172,8.81829e-05,0,-0.0241819,0.16,0.161817,-0.00924055,-0.00017163,1.16827e-05,0.00924215
internalMesh,173,9.95733e-05,0,-0.0210357,0.16,0.161377,-0.00963276,-0.000156923,3.71401e-05,0.00963411
internalMesh,174,0.000117229,0,-0.0161592,0.16,0.160814,-0.0102407,-0.000134127,7.6599e-05,0.0102419
internalMesh,175,0.000133894,0,-0.00966277,0.16,0.160292,-0.0107376,-8.53283e-05,0.000113155,0.0107386
internalMesh,176,0.000137926,0,-0.00809104,0.16,0.160204,-0.0108579,-7.35222e-05,0.000121999,0.0108588
internalMesh,177,0.000145434,0,0,0.16,0.16,-0.0110665,-3.49775e-08,0.000138287,0.0110674
