Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,63,0.270176,0.0241819,4.53341e-18,0,0.0241819,1,0,0,1
internalMesh,64,0.433533,0.0321362,-4.2096e-18,0,0.0321362,1,0,0,1
internalMesh,65,0.625379,0.04,8.32667e-18,0,0.04,1,0,0,1
internalMesh,66,-0.570621,-0.0397987,0.00709104,0,0.0404255,1,0,0,1
internalMesh,67,-0.426879,-0.0319752,0.00744949,0,0.0328315,1,0,0,1
internalMesh,68,-0.309083,-0.0240611,0.00772949,0,0.0252721,1,0,0,1
internalMesh,69,-0.215324,-0.0160787,0.00793014,0,0.017928,1,0,0,1
internalMesh,70,-0.132864,-0.00805079,0.00805079,0,0.0113855,1,0,0,1
internalMesh,71,-0.0514622,-1.73472e-18,0.00809104,0,0.00809104,1,0,0,1
internalMesh,72,0.0376921,0.00805079,0.00805079,0,0.0113855,1,0,0,1
internalMesh,73,0.142974,0.0160787,0.00793014,0,0.017928,1,0,0,1
internalMesh,74,0.272707,0.0240611,0.00772949,0,0.0252721,1,0,0,1
internalMesh,75,0.435799,0.0319752,0.00744949,0,0.0328315,1,0,0,1
internalMesh,76,0.625527,0.0397987,0.00709104,0,0.0404255,1,0,0,1
internalMesh,77,-0.575098,-0.0391955,0.0141593,0,0.0416746,1,0,0,1
internalMesh,78,-0.434382,-0.0314926,0.0148761,0,0.0348294,1,0,0,1
internalMesh,79,-0.315568,-0.0236991,0.0154361,0,0.0282829,1,0,0,1
internalMesh,80,-0.21957,-0.0158374,0.0158374,0,0.0223975,1,0,0,1
internalMesh,81,-0.134259,-0.00793014,0.0160787,0,0.017928,1,0,0,1
internalMesh,82,-0.0497776,7.63278e-18,0.0161592,0,0.0161592,1,0,0,1
internalMesh,83,0.0422075,0.00793014,0.0160787,0,0.017928,1,0,0,1
internalMesh,84,0.149524,0.0158374,0.0158374,0,0.0223975,1,0,0,1
internalMesh,85,0.280093,0.0236991,0.0154361,0,0.0282829,1,0,0,1
internalMesh,86,0.442187,0.0314926,0.0148761,0,0.0348294,1,0,0,1
internalMesh,87,0.625367,0.0391955,0.0141593,0,0.0416746,1,0,0,1
internalMesh,88,-0.580988,-0.0381922,0.0211819,0,0.0436729,1,0,0,1
internalMesh,89,-0.445928,-0.03069,0.0222572,0,0.0379112,1,0,0,1
internalMesh,90,-0.326101,-0.0230972,0.0230972,0,0.0326644,1,0,0,1
internalMesh,91,-0.226524,-0.0154361,0.0236991,0,0.0282829,1,0,0,1
internalMesh,92,-0.136492,-0.00772949,0.0240611,0,0.0252721,1,0,0,1
