Block Name,Point ID,nu,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,1.5e-05,3.18754e-05,0,-0.04,5.9,5.90014,-4.88793e-14,-6.55824e-14,0.0135475,0.0135475
internalMesh,1,1.5e-05,3.18754e-05,0,-0.0391575,5.9,5.90013,-4.37394e-14,-7.89407e-14,0.0136339,0.0136339
internalMesh,2,1.5e-05,3.18754e-05,0,-0.0349447,5.9,5.9001,-2.87632e-14,-1.43568e-13,0.0140655,0.0140655
internalMesh,3,1.5e-05,3.18754e-05,0,-0.0326043,5.9,5.90009,-2.04431e-14,-1.79472e-13,0.0143052,0.0143052
internalMesh,4,1.5e-05,3.18754e-05,0,-0.0321362,5.9,5.90009,-1.75876e-14,-1.86893e-13,0.0143532,0.0143532
internalMesh,5,1.5e-05,3.18754e-05,0,-0.0288219,5.9,5.90007,-8.42723e-15,-2.19722e-13,0.0145116,0.0145116
internalMesh,6,1.5e-05,3.18754e-05,0,-0.028159,5.9,5.90007,-4.99052e-15,-2.26341e-13,0.0145433,0.0145433
internalMesh,7,1.5e-05,3.18754e-05,0,-0.0274962,5.9,5.90006,-1.55381e-15,-2.32959e-13,0.014575,0.014575
internalMesh,8,1.5e-05,3.18754e-05,0,-0.0241819,5.9,5.90005,7.60657e-15,-2.65788e-13,0.0147333,0.0147333
internalMesh,9,1.5e-05,3.18754e-05,0,-0.0236676,5.9,5.90005,8.76095e-15,-2.65395e-13,0.0147427,0.0147427
internalMesh,10,1.5e-05,3.18754e-05,0,-0.0211683,5.9,5.90004,1.09473e-14,-2.65789e-13,0.0147882,0.0147882
internalMesh,11,1.5e-05,3.18754e-05,0,-0.0169821,5.9,5.90002,1.46095e-14,-2.66448e-13,0.0148645,0.0148645
internalMesh,12,1.5e-05,3.18754e-05,0,-0.0161592,5.9,5.90002,1.64565e-14,-2.6582e-13,0.0148795,0.0148795
internalMesh,13,1.5e-05,3.18754e-05,0,-0.0106656,5.9,5.90001,1.26916e-14,-2.19807e-13,0.0149129,0.0149129
internalMesh,14,1.5e-05,3.18754e-05,0,-0.00957628,5.9,5.90001,1.21541e-14,-2.07599e-13,0.0149196,0.0149196
internalMesh,15,1.5e-05,3.18754e-05,0,-0.00932095,5.9,5.90001,1.20282e-14,-2.04737e-13,0.0149211,0.0149211
internalMesh,16,1.5e-05,3.18754e-05,0,-0.00809104,5.9,5.90001,1.11853e-14,-1.94436e-13,0.0149286,0.0149286
internalMesh,17,1.5e-05,3.18754e-05,0,-0.0013485,5.9,5.9,1.56528e-14,-1.06356e-13,0.0149379,0.0149379
internalMesh,18,1.5e-05,3.18754e-05,0,0,5.9,5.9,1.72116e-14,-8.67305e-14,0.0149398,0.0149398
internalMesh,19,1.5e-05,3.18754e-05,0,0,5.9,5.9,1.72116e-14,-8.67305e-14,0.0149398,0.0149398
internalMesh,20,1.5e-05,3.18754e-05,0,0,5.9,5.9,1.72116e-14,-8.67305e-14,0.0149398,0.0149398
internalMesh,21,1.5e-05,3.18754e-05,0,0.00674254,5.9,5.9,2.06921e-14,-2.16478e-15,0.0149305,0.0149305
internalMesh,22,1.5e-05,3.18754e-05,0,0.00809104,5.9,5.90001,2.06748e-14,1.47933e-14,0.0149286,0.0149286
internalMesh,23,1.5e-05,3.18754e-05,0,0.00929167,5.9,5.90001,1.63871e-14,2.99379e-14,0.0149213,0.0149213
internalMesh,24,1.5e-05,3.18754e-05,0,0.00954069,5.9,5.90001,1.45425e-14,3.32867e-14,0.0149198,0.0149198
internalMesh,25,1.5e-05,3.18754e-05,0,0.0106364,5.9,5.90001,6.42649e-15,4.80215e-14,0.0149131,0.0149131
internalMesh,26,1.5e-05,3.18754e-05,0,0.0161592,5.9,5.90002,-1.3297e-14,1.17687e-13,0.0148795,0.0148795
internalMesh,27,1.5e-05,3.18754e-05,0,0.0169764,5.9,5.90002,-2.13275e-14,1.23452e-13,0.0148646,0.0148646
internalMesh,28,1.5e-05,3.18754e-05,0,0.0211322,5.9,5.90004,-4.11333e-14,1.54104e-13,0.0147889,0.0147889
internalMesh,29,1.5e-05,3.18754e-05,0,0.0236619,5.9,5.90005,-5.3189e-14,1.72762e-13,0.0147428,0.0147428
internalMesh,30,1.5e-05,3.18754e-05,0,0.0241819,5.9,5.90005,-5.82993e-14,1.7643e-13,0.0147333,0.0147333
internalMesh,31,1.5e-05,3.18754e-05,0,0.0276189,5.9,5.90006,-5.63881e-14,1.54397e-13,0.0145691,0.0145691
internalMesh,32,1.5e-05,3.18754e-05,0,0.0283063,5.9,5.90007,-5.67233e-14,1.45497e-13,0.0145362,0.0145362
internalMesh,33,1.5e-05,3.18754e-05,0,0.0289447,5.9,5.90007,-5.70346e-14,1.37233e-13,0.0145057,0.0145057
internalMesh,34,1.5e-05,3.18754e-05,0,0.0321362,5.9,5.90009,-5.52599e-14,1.16773e-13,0.0143532,0.0143532
internalMesh,35,1.5e-05,3.18754e-05,0,0.0325967,5.9,5.90009,-5.16824e-14,1.07098e-13,0.014306,0.014306
internalMesh,36,1.5e-05,3.18754e-05,0,0.0348992,5.9,5.9001,-4.13412e-14,7.66628e-14,0.0140701,0.0140701
