Block Name,Point ID,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0,0,8.187,0,-0.04,5.5,5.50015,-6.61591e-09,-2.73331e-09,1.34675,1.34675
internalMesh,1,0,0,8.187,0,-0.0357301,5.5,5.50012,-7.19239e-09,-3.17467e-09,1.46441,1.46441
internalMesh,2,0,0,8.187,0,-0.0348761,5.5,5.50011,-7.17636e-09,-3.1798e-09,1.48794,1.48794
internalMesh,3,0,0,8.187,0,-0.0344195,5.5,5.50011,-7.16779e-09,-3.18254e-09,1.50052,1.50052
internalMesh,4,0,0,8.187,0,-0.0321362,5.5,5.50009,-7.47605e-09,-3.41854e-09,1.56344,1.56344
internalMesh,5,0,0,8.187,0,-0.031486,5.5,5.50009,-7.48743e-09,-3.37608e-09,1.57827,1.57827
internalMesh,6,0,0,8.187,0,-0.028235,5.5,5.50007,-7.72495e-09,-3.60901e-09,1.6524,1.6524
internalMesh,7,0,0,8.187,0,-0.0248574,5.5,5.50006,-7.97172e-09,-3.85102e-09,1.72942,1.72942
internalMesh,8,0,0,8.187,0,-0.0241819,5.5,5.50005,-7.98355e-09,-3.8069e-09,1.74483,1.74483
internalMesh,9,0,0,8.187,0,-0.0216105,5.5,5.50004,-8.09952e-09,-3.88327e-09,1.78685,1.78685
internalMesh,10,0,0,8.187,0,-0.0210962,5.5,5.50004,-8.12144e-09,-3.83138e-09,1.79525,1.79525
internalMesh,11,0,0,8.187,0,-0.0202734,5.5,5.50004,-8.15651e-09,-3.74835e-09,1.8087,1.8087
internalMesh,12,0,0,8.187,0,-0.0161592,5.5,5.50002,-8.34207e-09,-3.87054e-09,1.87593,1.87593
internalMesh,13,0,0,8.187,0,-0.0150699,5.5,5.50002,-8.39655e-09,-3.73631e-09,1.88663,1.88663
internalMesh,14,0,0,8.187,0,-0.00962298,5.5,5.50001,-8.53765e-09,-3.57678e-09,1.94014,1.94014
internalMesh,15,0,0,8.187,0,-0.00834637,5.5,5.50001,-8.57072e-09,-3.53938e-09,1.95269,1.95269
internalMesh,16,0,0,8.187,0,-0.00809104,5.5,5.50001,-8.58349e-09,-3.50793e-09,1.95519,1.95519
internalMesh,17,0,0,8.187,0,-0.00674254,5.5,5.5,-8.6625e-09,-3.3501e-09,1.95962,1.95962
internalMesh,18,0,0,8.187,0,0,5.5,5.5,-8.7139e-09,-2.88196e-09,1.98172,1.98172
internalMesh,19,0,0,8.187,0,0,5.5,5.5,-8.7139e-09,-2.88196e-09,1.98172,1.98172
internalMesh,20,0,0,8.187,0,0,5.5,5.5,-8.7139e-09,-2.88196e-09,1.98172,1.98172
internalMesh,21,0,0,8.187,0,0.00134851,5.5,5.5,-8.80997e-09,-2.77586e-09,1.9773,1.9773
internalMesh,22,0,0,8.187,0,0.00809104,5.5,5.50001,-8.77412e-09,-2.22053e-09,1.95519,1.95519
internalMesh,23,0,0,8.187,0,0.00834006,5.5,5.50001,-8.79128e-09,-2.21407e-09,1.95275,1.95275
internalMesh,24,0,0,8.187,0,0.00954069,5.5,5.50001,-8.76389e-09,-2.1091e-09,1.94095,1.94095
internalMesh,25,0,0,8.187,0,0.0150636,5.5,5.50002,-8.63789e-09,-1.62623e-09,1.88669,1.88669
internalMesh,26,0,0,8.187,0,0.0161592,5.5,5.50002,-8.71339e-09,-1.59778e-09,1.87593,1.87593
internalMesh,27,0,0,8.187,0,0.0202597,5.5,5.50004,-8.48291e-09,-1.27026e-09,1.80892,1.80892
internalMesh,28,0,0,8.187,0,0.0210656,5.5,5.50004,-8.51804e-09,-1.28875e-09,1.79575,1.79575
internalMesh,29,0,0,8.187,0,0.0215968,5.5,5.50004,-8.54119e-09,-1.30094e-09,1.78707,1.78707
internalMesh,30,0,0,8.187,0,0.0241819,5.5,5.50005,-8.39588e-09,-1.09446e-09,1.74483,1.74483
internalMesh,31,0,0,8.187,0,0.0248938,5.5,5.50006,-8.40982e-09,-1.1346e-09,1.72859,1.72859
internalMesh,32,0,0,8.187,0,0.0284537,5.5,5.50007,-8.05986e-09,-9.49043e-10,1.64742,1.64742
internalMesh,33,0,0,8.187,0,0.0315225,5.5,5.50009,-7.75816e-09,-7.8908e-10,1.57744,1.57744
internalMesh,34,0,0,8.187,0,0.0321362,5.5,5.50009,-7.77018e-09,-8.23684e-10,1.56344,1.56344
internalMesh,35,0,0,8.187,0,0.0343805,5.5,5.50011,-7.42134e-09,-7.12376e-10,1.5016,1.5016
internalMesh,36,0,0,8.187,0,0.0348293,5.5,5.50011,-7.42536e-09,-7.46073e-10,1.48923,1.48923
internalMesh,37,0,0,8.187,0,0.0356911,5.5,5.50012,-7.43308e-09,-8.10773e-10,1.46548,1.46548
internalMesh,38,0,0,8.187,0,0.04,5.5,5.50015,-6.76332e-09,-5.9706e-10,1.34675,1.34675
internalMesh,39,0,0,8.187,0,0.0406429,5.5,5.50015,-6.72885e-09,-6.68708e-10,1.32263,1.32263
internalMesh,40,0,0,8.187,0,0.0438571,5.5,5.50017,-5.92133e-09,-4.22001e-10,1.20203,1.20203
internalMesh,41,0,0,8.187,0,0.0456429,5.5,5.50019,-5.47271e-09,-2.84942e-10,1.13504,1.13504
internalMesh,42,0,0,8.187,0,-0.041,5.5,5.50015,-6.60525e-09,-2.65592e-09,1.30923,1.30923
internalMesh,43,0,0,8.187,0,0.046,5.5,5.50019,-5.45356e-09,-3.24746e-10,1.12164,1.12164
internalMesh,44,0,0,8.187,0,0.051,5.5,5.50024,-4.16604e-09,-2.41523e-12,0.923835,0.923835
